region,patch,date.played,team.a,team.b,map,first.pick.team,map.pick.team,ban.1,ban.2,pick.1,pick.2,pick.3,pick.4,pick.5,ban.3,ban.4,pick.6,pick.7,pick.8,pick.9,pick.10,winner,loser,game.number
Europe,22.7,1/20/2017,Team Dignitas,Misfits,Towers of Doom,Misfits,Team Dignitas,Diablo,Tassadar,Ragnaros,Malfurion,Li-Ming,Zeratul,Jaina,Johanna,Dehaka,Varian,E.T.C.,Anub'arak,Rehgar,Abathur,Misfits,Team Dignitas,1
Europe,22.7,1/20/2017,Team Dignitas,Misfits,Tomb of the Spider Queen,Team Dignitas,Misfits,Tychus,Diablo,Malfurion,Tassadar,Ragnaros,Muradin,Li-Ming,Zarya,Tracer,Leoric,Valla,Thrall,Falstad,Rehgar,Misfits,Team Dignitas,2
Europe,22.7,1/20/2017,Team Dignitas,Misfits,Infernal Shrines,Misfits,Team Dignitas,Leoric,Tassadar,Ragnaros,Malfurion,Falstad,Zeratul,Diablo,Jaina,Tychus,Kerrigan,Stitches,Sylvanas,Rehgar,Medivh,Misfits,Team Dignitas,3
Europe,22.7,1/20/2017,Team Expert,Playing Ducks,Cursed Hollow,Team Expert,Playing Ducks,Tassadar,Ragnaros,Tychus,Artanis,Malfurion,Thrall,E.T.C.,Dehaka,Zeratul,Zarya,Diablo,Brightwing,Medivh,Falstad,Team Expert,Playing Ducks,4
Europe,22.7,1/20/2017,Team Expert,Playing Ducks,Towers of Doom,Playing Ducks,Team Expert,Ragnaros,Tassadar,Malfurion,E.T.C.,Medivh,Tychus,Dehaka,Diablo,Zeratul,Thrall,Jaina,Falstad,Stitches,Brightwing,Team Expert,Playing Ducks,5
Europe,22.7,1/20/2017,Team Expert,Playing Ducks,Dragon Shire,Playing Ducks,Team Expert,Medivh,Tassadar,Malfurion,Ragnaros,Rehgar,Tychus,Zarya,Johanna,Zeratul,Jaina,Muradin,Dehaka,Thrall,Xul,Team Expert,Playing Ducks,6
North America,22.7,1/20/2017,Tempo Storm,Naventic,Tomb of the Spider Queen,Naventic,Tempo Storm,Artanis,Zarya,Tychus,E.T.C.,Malfurion,Rehgar,Ragnaros,Johanna,Zeratul,Tyrael,Gul'dan,Thrall,Diablo,Greymane,Tempo Storm,Naventic,7
North America,22.7,1/20/2017,Tempo Storm,Naventic,Cursed Hollow,Naventic,Tempo Storm,Artanis,Dehaka,Malfurion,Zeratul,E.T.C.,Zarya,Li-Ming,Thrall,Tychus,Falstad,Kharazim,Medivh,Varian,Tracer,Tempo Storm,Naventic,8
North America,22.7,1/20/2017,Tempo Storm,Naventic,Battlefield of Eternity,Tempo Storm,Naventic,Diablo,Artanis,E.T.C.,Malfurion,Li-Ming,Tychus,Kharazim,Zeratul,Johanna,Tracer,Tassadar,Greymane,Tyrael,Varian,Naventic,Tempo Storm,9
North America,22.7,1/20/2017,Tempo Storm,Naventic,Infernal Shrines,Tempo Storm,Naventic,Diablo,E.T.C.,Kerrigan,Ragnaros,Malfurion,Zarya,Tyrael,Medivh,Tychus,Gul'dan,Valla,Li-Ming,Uther,Varian,Naventic,Tempo Storm,10
North America,22.7,1/20/2017,Tempo Storm,Naventic,Braxis Holdout,Tempo Storm,Naventic,Malfurion,Artanis,Zarya,Gul'dan,Lt. Morales,Valla,E.T.C.,Auriel,Tychus,Johanna,Sgt. Hammer,Brightwing,Leoric,Rexxar,Tempo Storm,Naventic,11
North America,22.7,1/20/2017,Team 8,No Tomorrow,Tomb of the Spider Queen,Team 8,No Tomorrow,Tychus,Artanis,Ragnaros,Malfurion,Zarya,Diablo,Gul'dan,Rehgar,Tassadar,E.T.C.,Valla,Medivh,Auriel,Thrall,Team 8,No Tomorrow,12
